code,name,price
2 7FF8,MOTOR FORZADOR FAMILIAR MOD: PHILCO PHSB555,29235.54
2 7FF6,MOTOR FORZADOR FAMILIAR MOD: SIAM / ATMA HSB620 SIDE BY SIDE,23388.43
2 7FF5,MOTOR FORZADOR FAMILIAR MOD:3210MBW (2450 RPM),19809.92
2 7FF2,MOTOR FORZADOR FAMILIAR MOD:3215EAB (EJE 4MM X 50MM),13214.88
2 7FF3,MOTOR FORZADOR FAMILIAR MOD:61103D (EJE 3.15MM X 28MM),11121.49
2 7FF1,MOTOR FORZADOR FAMILIAR MOD:F61-10 (EJE 3.15MM X 28MM),11121.49
2 7FF9,MOTOR FORZADOR FAMILIAR MOD:SIAM HSI-SB71XA,22219.01
1 25M1,MOTOR MODELO: P20 1 (A TORNILLO) 3 TRABAS,8396.69
1 25M2,MOTOR MODELO: P25 1 (8 TRABAS),9028.1
1 25M3,MOTOR MODELO: P25 1EK (CUADRADO),9028.1
1 26L1,PATAS LAVARROPA LG (JUEGO X4),13120.66
6 1H16,PEINE DE CONDENSADOR CT351,4829.75
6 1H5,PESTAÑADORA CT195 ECONOMICA,14033.06
6 1H6,PESTAÑADORA CT525 PREMIUN,26533.88
6 1H12,PINZA APRIETE CT201 1/8 A 1/4,5320.66
6 1H13,PINZA CORTA CAPILAR CT1104,4736.36
6 1H19,PINZA EXPANSORA DE CAÑO DE COBRE CT-622,24394.21
1 AL2104,PIÑON CAJA CONSUL 680,13612.4
6 1H20,PISTOLA CARGADORA DE GAS PARA AUTO,44438.02
1 6P5,PLACA       P/     PH07        ATMA LCS5210,63675.21
3 7U03,PLACA A/A GENERICA MODELO: QD U03C+,26647.96
3 7U05,PLACA A/A GENERICA MODELO: QD U05PG+,26647.96
3 7U08,PLACA A/A GENERICA MODELO: QD U08C,29452.49
3 7U010,PLACA A/A GENERICA MODELO: QD U10A,46484.16
2 CP0378,PLACA HELADERA CP0378/1516  WRM37,40345.45
2 CP0424,PLACA HELADERA CP0424/1517 WRM38/44,34580.17
2 CP0430,PLACA HELADERA CP0430 /1518,37456.2
2 CP0593,PLACA HELADERA CP0593/1519 WRM36/37/41/47/51 ERM30/31/44,40345.45
