Unnamed: 0,Категория товара,Наименование,Ansal код,Ansal название,Цена Ansal Оптовая,Цена Ansal Розничная,Reld код,Reld название,Цена Reld Оптовая,Цена Reld Розничная,Bellini код,Bellini название,Цена Bellini Оптовая,Цена Bellini Розничная,Uriarte код,Uriarte название,Цена Uriarte Оптовая,Цена Uriarte Розничная,Fijamom код ,Fijamom название,Fijamom Цена Fijamom Оптовая,Цена Fijamom Розничная
,**КОМПРЕССОРА*,Motocompresor HUAYI 1/3+HP R-134a,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor HUAYI 1/4HP R-134a,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor HUAYI 1/4+HP R-134a,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor HUAYI 1/5HP R-134a,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor HUAYI 1/5+HP R-134a,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor TECUMSEH TCW410Y 1/3HP R-134a,576071,Motoc.TECUMSEH 1/3-TCW410Y-1410-235f-134,,,,,,,,,,,,,,,,,,
,*Пульты*,Plaqueta universal con control remoto QD-02C+,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Пульты*,Plaqueta universal con control remoto QD-U10A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Трубогибы*,Dobladora caño a 180° CT-369,913470,,,,,,,,,,,,,,,,,,,
,*Трубогибы*,Dobladora caño a 90° CT-368,913471,900602010,,,,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre con chicote 10gr LT,491208,620212001,,,W28023-B,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre con chicote 15gr LT,491210,620212002,,,W28024-B,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre con chicote 20gr LT,491212,620212004,,,W28025-B ,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre con chicote 30gr LT,491214,620212003,,,W28026-B,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre sin chicote 10gr LT,116200,620212010,,,W13006,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre sin chicote 15gr LT,116201,620212011,,,W13009,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre sin chicote 30gr LT,NOT_FOUND,NONE,,,620212012,,,,,,,,,,,,,,,
,***Вентиляторы для установки в проём*,Cooler 120x12x38mm 5 paletas CNTONGDA,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Манометры,Вакуумметр*",Manometro R12/R22/R502 alta RG500 ZERO HVAC,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Манометры,Вакуумметр*",Manometro R12/R22/R502 baja RG250 ZERO HVAC,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Mecanismo MONDIAL Caja WH-680,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Mecanismo WHIRLPOOL,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Микродвигатели*,Forzador TDCO N16-25W RPM1300,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Микродвигатели*,Forzador TDCO N34-45W RPM1300,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Микродвигатели*,Forzador TDCO N5-13W RPM1300,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Мультиметры, клещи электро измерительные*",Tester Multimeter CM-7115A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Вальцовка*,"Pestañadora CT-2020 Ø3/16""-5/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Реле*,Protector termico 1/3 ceramico LT,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Реле*,Protector termico 1/4 redondo LT,207519,Protector DICOM 59L36-T7711--1/4-S-G-F--,,,,,,,,,,,,,,,,,,
,*Реле*,Protector termico 1/5 redondo LT,207506,Protector DICOM 67L36-T0910-1/5-S-G-O-F-,,,,,,,,,,,,,,,,,,
,*Реле*,Protector termico 1/5 ceramico LT,207507,Protector DICOM 63K36-T8002-1/5-SIC.1370,,,,,,,,,,,,,,,,,,
,*Реле*,Protector termico 1/6 ceramico LT,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Труборасширители**,Punzon juego CT-193,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Горелки*,Soplete HT-3SW c/encendido,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Горелки*,Soplete HT-3W,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Вентиль кондиционера*,"Valvula split Ø1/2"" R-410A",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Вентиль кондиционера*,"Valvula split Ø3/8"" R-410A",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Вентиль кондиционера*,"Valvula split Ø5/8"" R-410A",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*CASTOLIN,Varillas soldadura 5% plata kg china,Argenta 927623,,,,,,,,,,,,,,,,,,,
,**Вентиляторы тангенциальные*,Ventilador tangencial L360mm Ø60mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato 42600-2 BACOPE,490112,683030001,,,YC42600-2E,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato 13646-2,907051,683010009,,,YC23669-2S,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato 23669-2,907051,683010009,,,YC23669-2S,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato 4070-2,490112,683030001,,,YC42600-2E,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato 94072-2,490060,683010008,,,YC94072-4S,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato A2000 (-35/+35°C) corto,957410,680610001,,,,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,"Termostato F2000 1,3m (-35/+35°C) largo",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Таймера*,Timer 6hs 25min DS-004,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Таймера*,Timer 6hs 21min SA-004,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Крыльчатки*,Aspas Ø250mm 28° MG alum,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,"Aceite SUNISO 3GS (3,78L) (150sus) Euro",NOT_FOUND,"Aceite LR-POE32 3,78L ERRECOM=SUNISO 32-",,,,,,,,,,,,,,,,,,
,**Масло*,"Aceite SUNISO 4GS (3,78L) (300sus) Euro",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,Aceite SUNISO SL-POE 100 (4L),NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,Aceite SUNISO SL-POE   32 (4L),913647,"Aceite LR-POE32 3,78L ERRECOM=SUNISO 32-",,,,,,,,,,,,,,,,,,
,**Масло*,Aceite SUNISO SL-POE   46 (4L),NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,Aceite SUNISO SL-POE   68 (4L),NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,"Bomba condensado ASPEN MAX HiFlow MK4 1,7L-550L/H",NOT_FOUND,NONE,,,309501005,,,,,,,,,,,,,,,
,*Конденсаторы электрические,"Capacitor CBB60 1,5MF 450V MG",NOT_FOUND,"Capacitor  1 MFx450V-""BlueStar""-CBB60-3-",,,CA-440-1.5CA-440-1.5,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 10MF 450V MG,917011,751005030,,,CA-440-10,,,,,,,,,,,,,,,
,*Конденсаторы электрические,"Capacitor CBB60 12,5MF 450V MG",917013,751005034,,,CA-440-12.5,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 14MF 450V MG,917014,751005036,,,CA-440-14,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 16MF 450V MG,917016,751005040,,,CA-440-16,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 18MF 450V MG,917018,751005042,,,CA-440-18,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 2MF 450V MG,917003,751005008,,,CA-440-2,,,,,,,,,,,,,,,
,*Конденсаторы электрические,"Capacitor CBB60 2,5MF 450V MG",917025,751005048,,,CA-440-25,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 20MF 450V MG,917020,751005044,,,CA-440-20,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 25MF 450V MG,917025,751005048,,,CA-440-25,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 3MF 450V MG,917005,751005012,,,CA-440-3,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 30MF 450V MG,917030,751005052,,,CA-440-30,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 35MF 450V MG,917035,751005056,,,CA-440-35,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 4MF 450V MG,917006,751005016,,,CA-440-4,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 40MF 450V MG,917040,751005058,,,CA-440-40,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 45MF 450V MG,917045,751005060,,,CA-440-45,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 5MF 450V MG,917007,751005020,,,CA-440-5,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 50MF 450V MG,917050,751005062,,,CA-440-50,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 6MF 450V MG,917008,751005024,,,CA-440-6,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 60MF 450V MG,917060,751005064,,,CA-440-60,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 8MF 450V MG,917040,751005058,,,CA-440-40,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre con chicote 10gr RD,491208,620212001,,,W28023-B,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre sin chicote 10gr RD,116200,620212010,,,W13006,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre con chicote 15gr RD,491210,620212002,,,W28024-B,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre sin chicote 15gr RD,116201,620212011,,,W13009,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre sin chicote 30gr RD,NOT_FOUND,NONE,,,W13012,,,,,,,,,,,,,,,
,**Припой*,Fundente HARRIS Super Fluxo 80gr Plata,NOT_FOUND,Fundente BlueStar FLUX-115gr.--600-850*C,,,,,,,,,,,,,,,,,,
,**Припой*,Varillas soldadura fosf HARRIS 0% AG/kg,Harris 778625,663701003,,,,,,,,,,,,,,,,,,
,**Припой*,Varillas soldadura fosf HARRIS 2% AG/kg,Harris 778622,663701002,,,S5%,,,,,,,,,,,,,,,
,**Припой*,Varillas soldadura fosf HARRIS 5% AG/kg,Harris 778625,663701003,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,"Motocompresor CUBIGEL HPMX18Tba 3/4HP R-22, 404A (T6220E/TYA9455E)",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,"Motocompresor CUBIGEL MLT12RA 1/2HP R-22, 404A (NE9213/AE4460EFZ)",NOT_FOUND,NONE,,,400204005,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor CUBIGEL GP14FB 1/3+HP R-134a,NOT_FOUND,NONE,,,410602055,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,"Motocompresor CUBIGEL ML90TB 1/3HP R-22, 404A (NE6210/AE4450EFZ)",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor CUBIGEL GLY80Aaa 1/4+HP R-134a,NOT_FOUND,NONE,,,410602035,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor CUBIGEL GLY70Aaa 1/4HP R-134a,NOT_FOUND,NONE,,,410602030,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor CUBIGEL MLY90Laa 1/3HP R-404A (AE2415Z/NEK2134GK),NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Llave esferica DUNAN Ø 3/4"" FQ-116-DN15 c/acceso",NOT_FOUND,Llave esferica DANFOSS--3/4s--GBC18-7054,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Llave esferica DUNAN 7/8"" FQ-116-DN20 c/acceso",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,"Motocompresor TECUMSEH AE4460ZFZ1C 1/2HP R-22, 404A",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor rotativo GMCC TOSHIBA PA240/270G2CS-4MU1 Btu-23600 6000Frig/h R-410A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor rotativo GMCC TOSHIBA ASM135V1VDZ/PA140G1C-4DZ1/H Btu-13600 R-410,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor rotativo GMCC TOSHIBA HSM215V3UDZ 3000 Frig/h R-22,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor rotativo GMCC TOSHIBA PA103M1C-4DZDE2 Btu-8428 2250Frig/h R-410A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor rotativo GMCC TOSHIBA PA200M2AS-4KUI 4500Frig/H R-410A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor rotativo GMCC TOSHIBA PH310G2C-4KU1  Btu-18817 4500Frig/h R-22,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor rotativo GMCC TOSHIBA PH420G2CS-4KU1  Btu-22570 6000Frig/h R-22,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Горелки*,Soplete DSZH DS-WK1,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Горелки*,Soplete DSZH DS-WK1S c/encendido,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*VALUE,Pinza amperometrica digital MG DM-6266,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*З/Ч К СПЛИТ-СИСТЕМАМ,Plaqueta universal con control remoto QD-U05PGC+,NOT_FOUND,NONE,,,309511021,,,,,,,,,,,,,,,
,*З/Ч К СПЛИТ-СИСТЕМАМ,Plaqueta universal con control remoto QD-U08PGC+,946227,309511017,,,CRQD-U08PGC,,,,,,,,,,,,,,,
,***Крыльчатки*,Reja condensador MG 250mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Флекс,Cinta termoaislante 50mm x 10m WINCELL ,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato ROBERTSHAW RC23669-2S PHILIPS,907051,683010009,,,YC23669-2S,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato ROBERTSHAW RC13646-2S,907051,683010009,,,YC23669-2S,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato ROBERTSHAW RC23626-2S Tivoli,490040,683010015,,,YC23626-2S,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato ROBERTSHAW RC24522-2S Peabody,490062,683010012,,,YC24522-2S,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato ROBERTSHAW RC53600-2E,490312,683040004,,,YC53600-2E,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato ROBERTSHAW RC53670-4S GAFA,490070,683040001,,,,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato ROBERTSHAW RC94072-4U,490060,683010008,,,YC94072-4S,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,"Valvula Rotalock rosca Ø3/4"" x 3/8""F",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Valvula acceso directo Ø1/4""  0,4x60mm RD",140510,Valvula de acceso SPLIT 1/4F-AV-1A-FC602,,,,,,,,,,,,,,,,,,
,*ТРВ Danfoss*,"Valvula termostatica DUNAN R-134a TIN-703-00 Ø3/8""x1/2"" s/compensador",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ТРВ Danfoss*,"Valvula termostatica DUNAN R-404A TIS-001/70300 Ø3/8""x1/2"" s/compensador",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*З/Ч К ХОЛОД. ТЕХ.,Timer lavarropas CODINI,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Разное стирка*,Pata lavarropa 8mm LG,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ремни*,Correa 1133 EPJ4 DREAN GOLD CANDY,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ремни*,Correa 1265 EPJ4 ELECTROLUX GAFA MABE,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ремни*,Correa 1181 EPJ4 DREAN 166 WHIRLPOOL ESL.LUJO,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,Magnetron 2M-218J 945W,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,Magnetron 2M-219J 900W,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,Magnetron 2M-218H 900W,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Флекс,"Aislacion Ø1/4"" 6mm 1,8m WINCELL",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Флекс,"Aislacion Ø3/8"" 6mm 1,8m WINCELL",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Флекс,"Aislacion Ø1/4"" 9mm 1,8m WINCELL",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Флекс,"Aislacion Ø3/8"" 9mm 1,8m WINCELL",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Флекс,"Aislacion Ø1/2"" 9mm 1,8m WINCELL",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Флекс,"Aislacion Ø5/8"" 9mm 1,8m WINCELL",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Флекс,"Aislacion Ø3/4"" 9mm 1,8m WINCELL",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Флекс,"Aislacion Ø7/8"" 9mm 1,8m WINCELL",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,"Capilar cobre Ø0,70mm kg (gris)",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,"Capilar cobre Ø0,80mm kg (rojo)",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,"Capilar cobre Ø0,90mm kg (verde)",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,"Capilar cobre Ø1,00mm kg (azul)",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,"Capilar cobre Ø1,20mm kg (blanco)",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,"Capacitor microondas 1,00MF 2100V",917011,751005030,,,CA-440-10,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,"Capacitor microondas 0,90MF 2100V",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Насосы дренажные*,Bomba desagote 30W 3 trabas EMICOL,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Caja PHILCO PH13,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Caja ELECTROLUX media chapa,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Caja PHILCO PH12 8 agujeros,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Caja PHILCO reten grande,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Torque CONSUL 680 EMICOL,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**УБЛ*,Blocapuerta DREAN 166,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"**Шланги заливные, сливные, аквастопы*","Manguera desagote Ø19x22mm 1,5m codo",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"**Шланги заливные, сливные, аквастопы*","Manguera desagote Ø19x22mm 2,0m codo",NOT_FOUND,Codo Drenaje 42009-000029 (TA8-32),,,,,,,,,,,,,,,,,,
,**Опоры*,Brida WHIRLPOOL con cuña,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ERRECOM,Liquido limpiador de lavarropas TAZZ,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ремни*,Correa 1173 H8 MEGADYNE,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ремни*,Correa 1138 H7 MEGADYNE,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*З/Ч К ХОЛОД. ТЕХ.,Portalampara heladera E14,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ИНСТРУМЕНТ,Valvula check split,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КЭНы*,Electrovalvula 1 via 180° DREAN BLUE,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КЭНы*,Electrovalvula 2 vias 180° DREAN GOLD,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Датчики уровны воды*,Presostato 3 contactos DREAN CONCEPT EMICOL,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Датчики уровны воды*,Presostato 6 contactos etiqueta celeste,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Датчики уровны воды*,Presostato 6 contactos etiqueta naranja,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Датчики уровны воды*,Presostato 4 contactos etiqueta roja,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Предохранители*,Bimetal SKSD 3005 -4/+13°C NoFrost,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Предохранители*,Bimetal SKSD 1004 +8/+15ºC NoFrost,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Предохранители*,Bimetal SKSD 3006 -4/+13ºC NoFrost,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Предохранители*,Bimetal SKSD 3016 0/+11ºC NoFrost,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Предохранители*,Bimetal SKSD 1008 NoFrost,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Bomba condensado BlueStar-SLIM BOX-15L/H,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Bomba condensado BLUESTAR MPC ORANGE/RED 10L/H,962426,,,,,,,,,,,,,,,,,,,
,*Насосы вакуумные*,Bomba Vacio 51L/min VP215 BLUESTAR,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 2MF 450V BLUESTAR,917003,751005008,,,CA-440-2,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 25MF 450V BLUESTAR,917025,751005048,,,CA-440-25,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 3MF 450V BLUESTAR,917005,751005012,,,CA-440-3,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 35MF 450V BLUESTAR,917035,751005056,,,CA-440-35,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 40MF 450V BLUESTAR,917040,751005058,,,CA-440-40,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 45MF 450V BLUESTAR,917045,751005060,,,CA-440-45,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 50MF 450V BLUESTAR,917050,751005062,,,CA-440-50,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 6MF 450V BLUESTAR,917008,751005024,,,CA-440-6,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 60MF 450V BLUESTAR,917060,751005064,,,CA-440-60,,,,,,,,,,,,,,,
,*Конденсаторы электрические,"Capacitor CBB60 2,5MF 450V BLUESTAR",917025,751005048,,,CA-440-25,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 30MF 450V BLUESTAR,917030,751005052,,,CA-440-30,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB60 4MF 450V BLUESTAR,917006,751005016,,,CA-440-4,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB65 dual 20+5MF 450V BLUESTAR,917090,(+2+4),,,,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB65 dual 30+5MF 450V BLUESTAR,917092,751021007,,,,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB65 dual 40+5MF 450V BLUESTAR,917094,751021012,,,,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB65 dual 50+5MF 450V BLUESTAR,917094,751021012,,,,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB65 dual 60+5MF 450V BLUESTAR,917094,751021012,,,,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB65 dual 55+5MF 450V BLUESTAR,917094,751021012,,,,,,,,,,,,,,,,,,
,*Конденсаторы агрегатов*,"Condensador 1/3HP 330x280mm FNF1,3/4,4  BLUESTAR ",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Конденсаторы агрегатов*,"Condensador 3/4HP 400x330mm FNF1,8/6,2 BLUESTAR",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Пульты*,Control remoto universal KT-6018,946250,CR-6018E,,,,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,"Filtro molecular BLUESTAR XF-052S Ø1/4""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre con chicote 10gr BS,491208,620212001,,,W28023-B,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre sin chicote 15gr BS,116201,620212011,,,W13009,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre con chicote 20gr BS,491212,620212004,,,W28025-B ,,,,,,,,,,,,,,,
