Unnamed: 0,Категория товара,Наименование,Ansal код,Ansal название,Цена Ansal Оптовая,Цена Ansal Розничная,Reld код,Reld название,Цена Reld Оптовая,Цена Reld Розничная,Bellini код,Bellini название,Цена Bellini Оптовая,Цена Bellini Розничная,Uriarte код,Uriarte название,Цена Uriarte Оптовая,Цена Uriarte Розничная,Fijamom код ,Fijamom название,Fijamom Цена Fijamom Оптовая,Цена Fijamom Розничная
,**ТЭН нагреватель*,"Resistencia 14"" 150W MITSUBISHI NoFrost",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Tuerca bronce Ø3/4""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Trampa succion de liquido Ø1/2""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Trampa succion de liquido Ø3/4""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Union cobre c/tope Ø1/2""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Union cobre Ø1/4""",565910,Union 1/4GMx1/4GM---de bronce------00369,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Union cobre c/tope Ø3/4""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Union cobre c/tope Ø3/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Union cobre c/tope Ø5/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Union cobre c/tope Ø7/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Union bronce Ø1/2""FM x 1/2""FM",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Tees de cobre Ø1/2""",NOT_FOUND,Tees de cobre p/sol.   3/8x  1/2x  3/8--,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Tees de cobre Ø3/4""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Tees de cobre Ø3/8""",472710,Tees de cobre p/sol.   3/8x  1/2x  3/8--,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Tees de cobre Ø5/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Tees de cobre Ø7/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Curva de cobre 90° Ø3/8""",472305,Curvas de cobre R.LARGO---3/8-C-90*-----,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Curva de cobre 90° Ø1/2""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Codo de cobre 90° Ø5/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Curva de cobre 90° Ø3/4""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Curva de cobre 90° Ø7/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Curva de cobre 90° Ø1/4""",472303,Curvas de cobre R.LARGO---1/4-C-90*-----,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Codo de cobre 90° Ø3/8""",472304,CODOS  de cobre p/soldar--3/8---90*-----,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Codo de cobre 90° Ø1/2""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Curva de cobre 90° Ø5/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Codo de cobre 90° Ø3/4""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Codo de cobre 90° Ø7/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Curva de cobre 90° Ø1 1/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Химические компоненты*,Barra tapa perdidas LACO,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Датчики*,Sensor NTC 10kOm ELITECH,NOT_FOUND,NTC Sensor superficie -5/10°C D003200152,,,,,,,,,,,,,,,,,,
,**Электронные блоки*,Presostato encapsulado YK03H off350/on250R alta MG,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Электронные блоки*,Presostato encapsulado YKL off5/on20 BLUESTAR,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*АВТОКОНДИЦИОНЕР,Acople rapido alta QC-MH BLUESTAR R-134a,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*АВТОКОНДИЦИОНЕР,Acople rapido baja 1304/QC-19L con adaptador LAX,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,Plato Ø245mm liso,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,Plato Ø255mm trebol,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,Plato Ø270mm trebol,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Подшипники*,Ruleman 6206 SKF 2RS C3 30x62x16,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Подшипники*,Ruleman 6207 SKF 2RS1 C3 35x72x15,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ремни*,Correa 1173 J5 MEGADYNE,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ремни*,Correa 1904 HUTCHINSON,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ручки люка*,Manija tirador modelo EN3005 LG 17SZ P/F1280/81 chica,NOT_FOUND,Manija 2294 Exterior pta. Superpuesta,,,,,,,,,,,,,,,,,,
,**Сальники бака*,Reten 21x40x10,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**УБЛ*,Blocapuerta 3 cont LG gris/DAEWOO,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"**Шланги заливные, сливные, аквастопы*","Manguera carga 2,0m",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"**Шланги заливные, сливные, аквастопы*","Manguera desagote L2,5m codo",NOT_FOUND,Codo Drenaje 42009-000029 (TA8-32),,,,,,,,,,,,,,,,,,
,"**Шланги заливные, сливные, аквастопы*","Manguera carga 3,0m",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"**Шланги заливные, сливные, аквастопы*","Manguera carga 4,0m",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Codo de cobre 90° Ø1 1/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Codo de cobre 90° Ø1""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Union cobre c/tope Ø1""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Union cobre c/tope Ø1 1/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*VALUE,Bomba vacio 70L/min VALUE VE225N,940392,Bomba Vacio VALUE VE225N-PRO-70L/min.---,,,,,,,,,,,,,,,,,,
,*VALUE,Bomba vacio 126L/min VALUE VE245N-PRO,940394,Bomba Vacio VALUE VE245N-PRO-126L/min.--,,,,,,,,,,,,,,,,,,
,*VALUE,Bomba vacio 170 L/min VALUE VE260N-PRO,940396,Bomba Vacio VALUE VE260N-PRO-170L/min---,,,,,,,,,,,,,,,,,,
,*VALUE,Manifold VALUE VMG2-B03 R-22 sin manguera,940536,,,,,,,,,,,,,,,,,,,
,*R-134*,Motocompresor EMBRACO NJ6220Z 3/4HP R-134a,575318,409603004,,,,,,,,,,,,,,,,,,
,*R-134*,Motocompresor EMBRACO NJ6226Z 1HP R-134a,575318,409603004,,,,,,,,,,,,,,,,,,
,**Манжет люка*,Fuelle SAMSUNG DC64-01664A WF1702/WF8650 original,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Амортизаторы*,Amortiguador 80N L160-280mm Ø11mm redondo LG 4901ER2003B,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*",Valvula garrafa CT-338,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Зеркала*,Espejo inspeccion Ø32mm COOLTECH,NOT_FOUND,Espejo insepc.extens.70cms diam3cm-CT501,,,,,,,,,,,,,,,,,,
,*Зеркала*,Espejo insepcion Ø50mm extencion 54cm BS,946165,Espejo insepc.extens.54cms diam5cm-CT502,,,,,,,,,,,,,,,,,,
,**Виброгасители*,"Amortiguador flexible Ø3/8"" L210mm MG",948005,Flexible BlueStar- 3/8 -VAS038-Largo210-,,,,,,,,,,,,,,,,,,
,**Виброгасители*,"Amortiguador flexible Ø1/2""  L230mm MG",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Виброгасители*,"Amortiguador flexible Ø5/8"" L250mm MG",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Виброгасители*,"Amortiguador flexible Ø7/8"" L305mm BLUESTAR",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,Plato Ø245mm trebol,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Union cobre reduccion Ø7/8"" x 3/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Union cobre reduccion Ø7/8"" x 5/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Шланги заправочные*,Kit 3 mangueras 150cm 800Psi R-410 VALUE,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,"Capacitor microondas 1,05mf 2,1 kV",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,Diodo CL-01 12KV 350ma 50ma,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Пульты*,Control remoto universal KT-1000,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Tapa cobre Ø1/2""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Tapa cobre Ø5/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Предохранители*,"Fusible 6,3x32mm 8A",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,СТИРАЛЬНЫЕ МАШИНЫ,Sensor hall LG 2001A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Кнопки,выключатели*",Interruptor doble con luz roja 4 cont 15A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Adaptador para jeringa sella fugas 5/16""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Adaptador para jeringa sella fugas 1/4""",913637,Adaptador para Belnet 1/4SAE---RP104201-,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,Plato Ø320mm trebol,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*VALUE,Pinza cortacapilares VALUE VRT-101,940706,V-RT101,,,,,,,,,,,,,,,,,,
,*VALUE,"Pinza selladora Ø1/8""-3/8"" VALUE VRT-102",940704,V-RT102,,,,,,,,,,,,,,,,,,
,*ERRECOM,Sella Juntas ERRECOM SEALUP 50ml,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*VALUE,"Kit VALUE VFT808-IS cortadora pestañadora Ø1/4""-3/4""",940748,"Kit""VALUE""VFT808L-MIS-cort+pestan.1/4-34",,,,,,,,,,,,,,,,,,
,*VALUE,"Minicortadora Ø1/8""-3/4"" VALUE VTC-19",940710,"Minicortadora ""VALUE""  VTC-19 -1/8 a 3/4",,,,,,,,,,,,,,,,,,
,*ERRECOM,Detector de fugas BRILLIANT 250ml,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,Aceite ERRECOM LR-POE   68 (1L),NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*VALUE,"Kit VALUE VFT808-MIS cortadora pestañadora Ø1/4""-3/4""",940748,"Kit""VALUE""VFT808L-MIS-cort+pestan.1/4-34",,,,,,,,,,,,,,,,,,
,*VALUE,"Cortadora Ø1/8""- Ø1 1/8"" VALUE VTC-28B",940714,,,,,,,,,,,,,,,,,,,
,*VALUE,Manifold VALUE VMG1-UL R-22/134a/407C/410A baja,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Манжет люка*,Fuelle LG con pico  4986EN1003A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*R-404*,Motocompresor EMBRACO NEU6215GK 3/4HP R-404A,575284,,,,,,,,,,,,,,,,,,,
,**Крестовины,Eje soporte SAMSUNG 1904 original,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Патрубок*,Codo salida LG 4738EN2003A 4738ER2007A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,Motor gira plato 220V 4W 5/6rpm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ручки люка*,Manija tirador SAMSUNG 1524A WF1904,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ERRECOM,"Neutralizador Ø1/4""-5/16"" 30ml NO-ACID ERRECOM",913672,Neutralizador NO-ACID 1x30ml-TR1124CJ9--,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Tapa de cobre Ø  3/8"" soldar ciega",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*VALUE,"Cortadora Ø1/4""-1 5/8"" VALUE VTC-42B",940714,,,,,,,,,,,,,,,,,,,
,*VALUE,"Llave criquet VRT-201 CURVA 1/4""-5/16"" VALUE",940702,"Llave Criquet""VALUE""VRT201-curva1/4-5/16",,,,,,,,,,,,,,,,,,
,*VALUE,Balanza Digital 50kg VALUE VES-50-A,940612,Balanza  Digital  VALUE-VES50A-cap:50Kg-,,,,,,,,,,,,,,,,,,
,*VALUE,Manifold VALUE VMG1-UH R-22/134a/410A alta,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*VALUE,"Valvula bola Ø1/4""M x 1/4""H para manguera",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*VALUE,"Llave globo manguera recta VALUE Ø1/4""x5/16""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*VALUE,Cuchilla para cortadora VTC28B/3 VALUE,940724,Cuchilla VALUE P/cortadora VTC28B/32----,,,,,,,,,,,,,,,,,,
,*Бытовая Серия,Motocompresor EMBRACO EGAS90HLR 1/4+HP R-134a,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Труба медная,"Caño Ø 3/8"" fraccionado",942955,Caño Sal.Evap.3/8F SEC002-000026(BS11IN-,,,,,,,,,,,,,,,,,,
,Труба медная,"Caño Ø 1/4"" fraccionado",NOT_FOUND,Caño Ent.Evap.1/4F SEC001-000023(BS11IN-,,,,,,,,,,,,,,,,,,
,Труба медная,"Caño Ø1/2"" fraccionado",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Union cobre reduccion Ø7/8"" x 3/4""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Union cobre reduccion Ø5/8"" x 3/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, ХОЛОД ПРОЧЕЕ,Cutter profesional BULIT,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Разное стирка*,Bisagra lavarropas SAMSUNG,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ERRECOM,Test identificador de aceite ERRECOM,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Труба медная,"Caño Ø5/8"" fraccionado",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Пульты*,Control remoto universal KT-528,946221,,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Tees de cobre Ø1 1/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Труба медная,"Caño Ø3/4"" fraccionado",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ERRECOM,Test identificador de acidez ERRECOM,913674,Kit de Acidez ACID-TEST---------RK1349S1,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Union bronce Ø5/8""FM x 1/2""FM",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Pila 9V ENERGIZER,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Шланги спиральные*,"Manguera cristal de Ø3/8"" 1m",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Конденсаторы агрегатов*,Rejilla  Ø300mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**УБЛ*,Blocapuerta CANDY LONGVIE amarillo,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,СТИРАЛЬНЫЕ МАШИНЫ,Sensor hall LG 2002A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Union bronce Ø1/2""FM x 3/8""FM",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Кронштейн для кондиционеров*,Mensula 420 soldada epoxi,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Tirador puerta SAMSUNG DC64-00773A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*VALUE,Pinza amperometrica digital JA-266,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
